Name,Card Type,Card Sub-Type,Attribute,Monster Type,Class,Level,ATK,DEF,Card Text,Select Your Deck Here,Highest Playability
Arsenal Summoner,Monster,Effect,Wind,Spellcaster,Flip,4,1600,1600,"FLIP: Add 1 card that includes ""Guardian"" in its card name from your Deck to your hand. You cannot add ""Celtic Guardian"", ""Winged Dragon, Guardian of the Fortress #1"", ""Winged Dragon, Guardian of the Fortress #2"", ""Guardian of the Labyrinth"", or ""The Reliable Guardian"".",Select a deck above,Junk
Assault on GHQ,Trap,Normal,,,,,,,Select 1 monster on your side of the field to activate this card. Destroy the selected card and send 2 cards from the top of your opponent's Deck to the Graveyard.,Select a deck above,Junk
Astral Barrier,Trap,Continuous,,,,,,,If your opponent's monster attacks a monster you control: You can make the attack a direct attack instead.,Select a deck above,Junk
Asura Priest,Monster,Effect,Light,Fairy,Spirit,4,1700,1200,This card cannot be Special Summoned. This card returns to its owner's hand during the End Phase of the turn it is Normal Summoned or flipped face-up. This card can attack all monsters your opponent controls once each. This monster cannot attack directly if it has already attacked a monster.,Select a deck above,Staple
Aswan Apparition,Monster,Effect,Dark,Fiend,,3,500,500,"If this card inflicts Battle Damage to your opponent's Life Points, you can return 1 Trap Card from your Graveyard to the top of your Deck.",Select a deck above,Junk
Atomic Firefly,Monster,Effect,Light,Insect,,1,100,200,"When this face-up card on the field attacks or is attacked and it is destroyed as a result of battle, the player who destroyed it takes 1000 points of damage.",Select a deck above,Junk
Attack and Receive,Trap,Normal,,,,,,,"You can only activate this card when you take damage to your Life Points. Inflict 700 points of damage to your opponent's Life Points. Also, inflict 300 points of damage to your opponent's Life Points for each Attack and Receive"" card in your Graveyard.""",Select a deck above,Junk
Aussa the Earth Charmer,Monster,Effect,Earth,Spellcaster,Flip,3,500,1500,"FLIP: Take control of 1 EARTH monster on your opponent's side of the field, for as long as this card remains face-up on the field.",Select a deck above,Junk
Autonomous Action Unit,Spell,Equip,,,,,,,"Pay 1500 Life Points to target 1 monster in your opponent's Graveyard; Special Summon that target to your side of the field in face-up Attack Position, and equip it with this card. When this card leaves the field, destroy the equipped monster.",Select a deck above,Junk
Avatar of The Pot,Monster,Effect,Earth,Rock,,3,1200,1300,"By sending 1 ""Pot of Greed"" from your hand to the Graveyard, draw 3 cards from your Deck.",Select a deck above,Junk
Axe of Despair,Spell,Equip,,,,,,,"(This card is always treated as an ""Archfiend"" card.)The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; return this card to the top of the Deck.",Select a deck above,Junk
Axe Raider,Monster,Normal,Earth,Warrior,,4,1700,1150,An axe-wielding monster of tremendous strength and agility.,Select a deck above,Junk
B. Skull Dragon,Monster,Fusion,Dark,Dragon,Normal,9,3200,2500,"""Summoned Skull"" + ""Red-Eyes B. Dragon""",Select a deck above,Junk
B.E.S. Big Core,Monster,Effect,Dark,Machine,,6,2300,1100,"Put 3 counters on this card when you Normal Summon it. This card is not destroyed as a result of battle. If this card battles a monster, remove 1 counter from this card at the end of the Damage Step. If this card battles without a counter, destroy this card at the end of the Damage Step.",Select a deck above,Junk
Baby Dragon,Monster,Normal,Wind,Dragon,,3,1200,700,"Much more than just a child, this dragon is gifted with untapped power.",Select a deck above,Junk
Back to Square One,Spell,Normal,,,,,,,Discard 1 card from your hand. Return 1 monster on the field to the top of the owner's Deck.,Select a deck above,Borderline
Backfire,Trap,Continuous,,,,,,,"When a FIRE monster(s) on your side of the field is destroyed and sent to the Graveyard, inflict 500 points of damage to your opponent's Life Points.",Select a deck above,Junk
Backup Soldier,Trap,Normal,,,,,,,You can activate this card when there are 5 or more Monster Cards in your Graveyard. Select up to 3 Monster Cards with an ATK of 1500 points or less (except Effect Monster Cards) from your Graveyard and add them to your hand.,Select a deck above,Junk
Bad Reaction to Simochi,Trap,Continuous,,,,,,,"As long as this card remains face-up on the field, any effect of increasing your opponent's Life Points is changed to inflict the same amount of points in damage to your opponent's Life Points.",Select a deck above,Junk
Bait Doll,Spell,Normal,,,,,,,"Force the activation of 1 face-down Trap Card. If the timing of the activation of the Trap Card is incorrect, negate the effect and destroy it. If it is not a Trap Card, it is returned to its original position. After this card is activated, it is placed into the Deck (not the Graveyard). Then shuffle the Deck.",Select a deck above,Junk
Ballista of Rampart Smashing,Spell,Equip,,,,,,,"If the equipped monster attacks a face-down Defense Position monster, it gains 1500 ATK during damage calculation only.",Select a deck above,Junk
Balloon Lizard,Monster,Effect,Earth,Reptile,,4,500,1900,"Put 1 counter on this card during each of your Standby Phases. When this card is destroyed, inflict damage to the controller of the card that destroyed it equal to the number of counters x 400 points.",Select a deck above,Junk
Banisher of the Light,Monster,Effect,Light,Fairy,,3,100,2000,"As long as this card remains face-up on the field, any card sent to the Graveyard is removed from play instead.",Select a deck above,Junk
Banner of Courage,Spell,Continuous,,,,,,,"During your Battle Phase only, all face-up monsters you control gain 200 ATK.",Select a deck above,Junk
Bark of Dark Ruler,Trap,Normal,,,,,,,You can only activate this card during the Damage Step of a Battle Phase if a Fiend-Type monster on your side of the field battles. Pay Life Points (in multiples of 100 points) to decrease 1 of your opponent's monster's ATK and DEF by the same amount of points until the End Phase of that turn.,Select a deck above,Junk
Baron of the Fiend Sword,Monster,Normal,Dark,Fiend,,4,1550,800,An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.,Select a deck above,Junk
Barrel Behind the Door,Trap,Counter,,,,,,,You can only activate this card when an effect that inflicts damage to your Life Points is activated (except Battle Damage). Switch the Effect Damage you receive to your opponent's Life Points.,Select a deck above,Junk
Barrel Dragon,Monster,Effect,Dark,Machine,,7,2600,2200,"Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 monster on your opponent's side of the field. This effect can only be used once per turn during your Main Phase.",Select a deck above,Junk
Basic Insect,Monster,Normal,Earth,Insect,,2,500,700,"Usually found traveling in swarms, this creature's ideal environment is the forest.",Select a deck above,Junk
Battery Charger,Spell,Normal,,,,,,,"Pay 500 Life Points. Special Summon 1 monster from your Graveyard that includes ""Batteryman"" in its card name.",Select a deck above,Junk
Batteryman AA,Monster,Effect,Light,Thunder,,3,0,0,"If all ""Batteryman AA""(s) you control are in Attack Position, this card gains 1000 ATK for each. If all ""Batteryman AA""(s) you control are in Defense Position, this card gains 1000 DEF for each.",Select a deck above,Junk
Battle Footballer,Monster,Normal,Fire,Machine,,4,1000,2100,A cyborg with high defense power. Originally it was invented for a football machine.,Select a deck above,Junk
Battle Ox,Monster,Normal,Earth,Beast-Warrior,,4,1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",Select a deck above,Junk
Battle Steer,Monster,Normal,Earth,Beast-Warrior,,5,1800,1300,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",Select a deck above,Junk
Battle-Scarred,Trap,Continuous,,,,,,,"Select 1 Archfiend monster on your side of the field to activate this card. Your opponent also pays the same Life Points that you pay for the selected monster during the Standby Phase. If this card is removed from the field, destroy the selected monster. When the selected monster is removed from the field, destroy this card.",Select a deck above,Junk
Bazoo the Soul-Eater,Monster,Effect,Earth,Beast,,4,1600,900,"Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until your opponent's End Phase.",Select a deck above,Borderline
Bean Soldier,Monster,Normal,Earth,Plant,,4,1400,1300,A plant-warrior that attacks with seeds and sword.,Select a deck above,Junk
Beast Fangs,Spell,Equip,,,,,,,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,Select a deck above,Junk
Beast of Talwar,Monster,Normal,Dark,Fiend,,6,2400,2150,Only the master of the sword among Fiend-Type monsters is permitted to hold the Talwar.,Select a deck above,Junk
Beast Soul Swap,Trap,Normal,,,,,,,"Target 1 Beast-Type monster you control; return it to the hand, and if you do, Special Summon 1 Beast-Type monster from your hand with the same Level as the monster that was returned to the hand.",Select a deck above,Junk
Beastking of the Swamps,Monster,Effect,Water,Aqua,,4,1000,1100,"You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).",Select a deck above,Junk
Beautiful Headhuntress,Monster,Normal,Earth,Warrior,,4,1600,800,A vicious creature that has decapitated numerous enemy monsters.,Select a deck above,Junk
Beaver Warrior,Monster,Normal,Earth,Beast-Warrior,,4,1200,1500,What this creature lacks in size it makes up for in defense when battling in the prairie.,Select a deck above,Junk
Beckoning Light,Trap,Normal,,,,,,,"Discard your entire hand, then for each card you discarded to the Graveyard by this effect, add 1 LIGHT monster from your Graveyard to your hand.",Select a deck above,Junk
"Begone, Knave!",Trap,Continuous,,,,,,,"If a monster inflicts Battle Damage to a player, return the monster to it's owner's hand.",Select a deck above,Junk
Behemoth the King of All Animals,Monster,Effect,Earth,Beast,,7,2700,1500,"This card can be Normal Summoned or Set with 1 Tribute Monster. In that case, the original ATK of this card becomes 2000. When this card is Tribute Summoned successfully, you can return from your Graveyard to the owner's hand a number of Beast-Type monsters equal to the number of Tributed monsters.",Select a deck above,Junk
Berserk Dragon,Monster,Effect,Dark,Zombie,,8,3500,0,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""A Deal with Dark Ruler"" and cannot be Special Summoned by other ways. This card can attack all monsters your opponent controls once each. During each of your End Phases, this card loses 500 ATK.",Select a deck above,Junk
Berserk Gorilla,Monster,Effect,Earth,Beast,,4,2000,1000,"If this card is in face-up Defense Position on the field, destroy this card. The controller of this card must attack with this card if possible.",Select a deck above,Optional
Beta the Magnet Warrior,Monster,Normal,Earth,Rock,,4,1700,1600,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",Select a deck above,Junk
Bickuribox,Monster,Fusion,Dark,Fiend,Normal,7,2300,2000,"Crass Clown + ""Dream Clown""",Select a deck above,Junk
Big Bang Shot,Spell,Equip,,,,,,,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",Select a deck above,Junk
Big Burn,Trap,Normal,,,,,,,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,Select a deck above,Junk
Big Eye,Monster,Effect,Dark,Fiend,Flip,4,1200,1000,"FLIP: See the 5 cards from the top of your Deck, arrange them in any order desired, and replace them on the top of the Deck.",Select a deck above,Junk
Big Koala,Monster,Normal,Earth,Beast,,7,2700,2000,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",Select a deck above,Junk
Big Shield Gardna,Monster,Effect,Earth,Warrior,,4,100,2600,"During either player's turn, when this face-down card (and no other cards) is targeted by a Spell Card: Change this card to face-up Defense Position, and if you do, negate the Spell Card's activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",Select a deck above,Optional
Big Wave Small Wave,Spell,Normal,,,,,,,"Destroy all face-up WATER monsters on your side of the field. Then you can Special Summon WATER monsters from your hand, up to the same number of monsters destroyed by this effect.",Select a deck above,Junk
